Collection Name,identifier#1,identifierSource#1,title#1,title#1$2,title#1$1,titleType#1,titleSeries#1,subject#1,subjectAuthorityUsed#1,subject#2,subjectAuthorityUsed#2,subject#3,subjectAuthorityUsed#3,subject#4,subjectAuthorityUsed#4,subject#5,subjectAuthorityUsed#5,subject#6,subjectAuthorityUsed#6,subject#7,subjectAuthorityUsed#7,subject#8,subjectAuthorityUsed#8,description#1$1,description#1$2,description#1,descriptionType#1,description#2,descriptionType#2,genre#1,genreAuthorityUsed#1,coverageTemporal#1,coverageSpatial#1,contributor#1,contributorRole#1,contributor#10,contributorRole#10,contributor#11,contributorRole#11,contributor#2,contributorRole#2,contributor#3,contributorRole#3,contributor#4,contributorRole#4,contributor#5,contributorRole#5,contributor#6,contributorRole#6,contributor#7,contributorRole#7,contributor#8,contributorRole#8,contributor#9,contributorRole#9,publisher#1,publisherRole#1,rightsSummary#1,formatPhysical#1,formatDigital#1,formatLocation#1,formatMediaType#1,formatGenerations#1,formatStandard#1,formatEncoding#1,formatTimeStart#1,formatDuration#1,formatDataRate#1,formatBitDepth#1,formatSamplingRate#1,formatTracks#1,formatChannelConfiguration#1,language#1,formatIdentifier#1,formatIdentifierSource#1,annotation#1,annotation#2,annotation#3,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
Conference On World Affairs Archives,cwa_79-108.mp3,"CWA/Archives, University of Colorado at Boulder",Verification and Intelligence,,,Program,Series XX: The Arms Race,Strategic Arms Limitation Talks II,LCSH,Nuclear nonproliferation,LCSH,Nuclear weapons,LCSH,,,,,,,,,,,,,"Moderated by Molly Ivins. The panel examines the concepts of verification and intelligence related to nuclear arms limitation treaties, specifically the strategic arms limitation treaty of 1979. Coming from several different perspectives, the panelists discuss the difficulties in determining the size and capabilities of the Soviet nuclear arsenal. Katherine Camp provides political context, followed by Daniel Graham's in-depth analysis of the diplomatic and strategic landscape. Thomas Halsted makes the distinction between verification for treaty purposes and intelligence for national security purposes. Marvin Leibstone shares the other panelists’ concerns about the difficulties of verification, while questioning the end result of strategic arms limitation treaties.",Program,00:00:55 Panelists introduced -- 00:02:40 Katherine Camp begins -- 00:07:05 Camp ends -- 00:07:10 Daniel Graham begins -- 00:27:03 Graham ends -- 00:27:13 Camp responds -- 00:29:26 Camp ends -- 00:29:30 Thomas Halsted begins -- 00:50:34 Halsted ends -- 00:51:00 Marvin Leibstone begins -- 01:00:57 Leibstone ends -- 01:01:10 Audience questions begin -- 01:20:45 Audience questions end.,SegmentSequence,,,4/13/1979,University Memorial Center Ballroom,"Ivins, Molly",Panelist,,,,,"Camp, Kay",Panelist,"Leibstone, Marvin",Panelist,"Halsted, Thomas A.",Panelist,"Graham, Daniel Orrin, 1925-",Panelist,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 156, Tape 79-108",Sound,Audio/Original recording,MPEG Audio,mp3,16:00:00-07:00,1:20:45,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539253,455,cwa_79-108.mp3
Conference On World Affairs Archives,cwa_84-18.mp3,"CWA/Archives, University of Colorado at Boulder",WHO OWNS THE MEDIA?,,,Program,Series XVIII,Journalism -- Objectivity -- United States.,LCSH,Television broadcasting of news -- Objectivity -- United States.,LCSH,Press monopolies -- United States.,LCSH,Newspapers -- Objectivity.,LCSH,,,,,,,,,,,"Moderated by Gary Blonston. Someone argues that the media does not have a liberal bias, but a conservative bias and that unbiased reporting can only come from independently owned newspapers. Someone describes the process of publishing a book. Someone states that various major reporting agencies are owned by the same people and this is due to the high costs of televised reporting and film making. Someone compares the media in the U.S. and Great Britain and notes that increased competition often does not equate to diversity in coverage.",Program,00:00:03 begins* 00:01:40 ends* 00:01:44 begins* 00:04:07 ends* 00:04:14 begins* 00:07:38 ends* 00:07:41 begins 00:15:57 ends 00:15:28 Gary Blonston begins 00:17:22 Blonston ends 00:17:25 Discussion between the panelists begins* 00:38:43 Discussion ends 00:38:46 Questions from the audience begin 01:22:52 End of tape,SegmentSequence,,,4/9/1984,University Memorial Center,"Ivins, Molly",Panelist,,,,,"Neil, Andrew",Panelist,"Roach, Janet",Panelist,"Nemerov, Howard",Panelist,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio tape,audio/mpeg,"Box 207, Tape 84-18",Sound,Audio/Original recording,MPEG Audio,mp3,14:00:00-07:00,1:22:52,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",sh,Some portions of this recording are indecipherable. They are indicated by asterisks on the description.,,356114,455,cwa_84-18.jpg
Conference On World Affairs Archives,cwa_85-26.mp3,"CWA/Archives, University of Colorado at Boulder",And Reagan,,,Program,Series XXVI: The Press,Press -- United States,LCSH,"Reagan, Ronald",LCSH,Presidents -- United States,LCSH,,,,,,,,,,,,,"Moderated by Sam Kuczun. The panel discusses the media's coverage of and relationship with Ronald Reagan. Robert Brictson addresses the concept of “doublespeak” in politics, arguing that Reagan used it as a technique to foment fear of communism. Margot Adler examines what responsibilities the press has, especially relating to the office of the presidency. Molly Ivins challenges two assumptions: that the press is a uniform entity, and that objectivity is a desirable journalistic goal. Audience questions cover foreign policy, the economy, and the state of American news media.",Program,00:00:33 Robert Brictson introduced -- 00:01:42 Brictson begins -- 00:18:09 Brictson ends -- 00:18:15 Margot Adler introduced -- 00:19:05 Adler begins -- 00:42:35 Adler ends -- 00:42:45 Molly Ivins introduced -- 00:43:26 Ivins introduced -- 01:05:15 Ivins ends -- 01:06:41 Audience questions begin -- 01:54:02 Audience questions end.,SegmentSequence,,,4/8/1985,University Memorial Center 422,"Ivins, Molly",Panelist,,,,,"Adler, Margot",Panelist,"Brictson, Robert",Panelist,,,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 219, Tape 85-26",Sound,Audio/Original recording,MPEG Audio,mp3,16:00:00-07:00,1:54:02,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539265,455,cwa_85-26.mp3
Conference On World Affairs Archives,cwa_85-10.mp3,"CWA/Archives, University of Colorado at Boulder",Bernhard Goetz: Trial by the Press,,,Program,Series X: The Press,"Goetz, Bernhard Hugo, 1947-",LCSH,Crime -- New York (N.Y.),LCSH,New York (N.Y.),LCSH,Press -- United States,LCSH,,,,,,,,,,,"Moderated by Salvador Rodriguez del Pino. The panel discusses Bernhard Goetz, who shot four young black men attempting to mug him on the subway in New York in 1984. Peter Tauber argues that illegally carrying weapons in public is a threat to public safety. Margot Adler places the issue in the broader context of safety in New York City at the time, and argues that the city is not as dangerous as most people think. Molly Ivins extends Adler's point to argue that irrational fear is the source of the problem. During the question and answer session, the panelists discuss the media's role in perpetuating New York's dangerous image.",Program,00:00:55 Panelists introduced -- 00:02:10 Peter Tauber begins -- 00:13:22 Tauber ends -- 00:13:31 Margot Adler begins -- 00:26:15 Adler ends -- 00:26:22 Molly Ivins begins -- 00:38:28 Ivins ends -- 00:38:48 Audience questions begin -- 00:50:45 Audience questions end.,SegmentSequence,,,4/8/1985,University Memorial Center 157,"Ivins, Molly",Panelist,,,,,"Adler, Margot",Panelist,"Tauber, Peter",Panelist,,,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 219, Tape 85-10",Sound,Audio/Original recording,MPEG Audio,mp3,10:00:00-07:00,0:50:45,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539263,455,cwa_85-10.mp3
Conference On World Affairs Archives,cwa_85-42.mp3,"CWA/Archives, University of Colorado at Boulder",For Blacks,,,Program,Series X: Rights,Race relations,LCSH,Race discrimination -- United States,LCSH,Race discrimination -- South Africa,LCSH,,,,,,,,,,,,,"Moderated by Olivia Lopez Carter . The panel discusses race relations in America during the Reagan administration. Molly Ivins argues that conservative domestic policy cuts social services, negatively affecting ethnic minorities. Sam Papich demonstrates how the NCAA discriminates against young Black men in college athletics, relating stories from his time in the FBI prosecuting illegal gambling operations. Barbara Smith traces systematic oppression in America to the history of colonialism in Africa, and examines the anti-apartheid movement in South Africa.The audience question and answer period covers FBI surveillance of Martin Luther King Jr., affirmative action, and the future of South Africa.",Program,00:05:37 Panel introduced -- 00:07:11 Molly Ivins begins -- 00:22:22 Ivins ends -- 00:22:31 Sam Papich begins -- 00:39:00 Papich ends -- 00:39:10: Barbara Smith begins -- 00:50:50 Smith ends -- 00: 51:05 Audience questions begin -- 01:37:18 Audience questions end.,SegmentSequence,,,4/9/1985,University Memorial Center 157,"Ivins, Molly",Panelist,,,,,"Papich, Sam J.",Panelist,"Smith, Barbara",Panelist,,,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 220, Tape 85-42",Sound,Audio/Original recording,MPEG Audio,mp3,10:00:00-07:00,1:37:18,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539268,455,cwa_85-42.mp3
Conference On World Affairs Archives,cwa_85-63.mp3,"CWA/Archives, University of Colorado at Boulder",Values,,,Program,Series XXXI: Yuppies,,,,,,,,,,,,,,,,,,,"Moderated by Robert Lewis. The panelists begin by addressing Robert Lewis's concerns about how yuppies are portrayed in the media. Peter Tauber explains how the 60s generation became yuppies as well as the contradictory values of being a yuppie. Molly Ivins describes being along the ""periphery"" of the yuppie generation. Annette Goodheart notes that ridiculing yuppies shows society's distress about materialism and nuclear annihilation. Roger Ebert believes that there is nothing wrong with consumerism and focusing on the self. The panelists discuss whether the yuppies are still missing something, bodybuilders, the 60s, sexuality, movies, drugs, and the productivity of yuppies.",Program,,,,,4/9/1985,Old Main Chapel,"Ebert, Roger",Panelist,,,,,"Tauber, Peter",Panelist,"Goodheart, Annette",Panelist,"Ivins, Molly",Panelist,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/8 inch audio cassette,audio/mpeg,"Box 221, Tape 85-63",Sound,Audio/Original recording,MPEG Audio,mp3,16:00:00-07:00,1:49:07,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",sh,,,538801,455,85-63.output.jpg
Conference On World Affairs Archives,cwa_85-69.mp3,"CWA/Archives, University of Colorado at Boulder",The Upper Crust Doesn't Know what is Going on Below,,,Program,Series V: Politics After Reagan,Social classes -- United States,LCSH,"Reagan, Ronald",LCSH,Public policy,LCSH,,,,,,,,,,,,,"Moderated by David M. Armstrong. Molly Ivins argues that, during the Reagan administration, economic classes in America are becoming more stratified and segregated as a result of public policy decisions. Ivins uses statistics and demographic information to make the point that the middle class is shrinking while the lower class grows. She also explores why poor people seem to be ignored by the media and the American public. Both Barry Newman and Sally Fay respond that the Reagan administration has not caused the problem, and that upward mobility still exists in America. Audience questions cover political solutions, international comparison, and further discussion of Ronald Reagan.",Program,00:00:45 Panelists introduced -- 00:01:29 Molly Ivins begins -- 00:43:43 Ivins ends -- 00:44:07 Barry Newman begins -- 00:53:47 Newman ends -- 00:53:50 Sally Fay begins -- 00:55:30 Fay ends -- 00:55:34 Ivins responds -- 01:00:54 Ivins ends -- 01:01:06 Audience questions begin -- 01:15:35 Audience questions end.,SegmentSequence,,,4/10/1985,University Memorial Center Ballroom,"Ivins, Molly",Speaker,,,,,"Fay, Sally",Panelist,"Newman, Barry (Journalist)",Panelist,,,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 221, Tape 85-69",Sound,Audio/Original recording,MPEG Audio,mp3,10:00:00-07:00,1:15:35,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539269,455,cwa_85-69.mp3
Conference On World Affairs Archives,cwa_85-123.mp3,"CWA/Archives, University of Colorado at Boulder",,[ NEARLY UNINTELLIGIBLE THROUGHOUT ],Hostility Toward the Media,Program,Series XXVI: The Press,Reporters and reporting -- United States,LCSH,Press -- United States,LCSH,Mass media and public opinion,LCSH,,,,,,,,,,,,,"Moderated by Barrie M. Hartman. The panel discusses the sometimes uneasy relationships between the American public, political structure, and media. Douglass Cater addresses and challenges the stereotype of the newspaper reporter in Washington. Samuel Chavkin examines the ways that government actions have affected journalism and led to self-censorship. Sidney Hyman argues that people interpret television and print journalism differently, leading to misunderstanding and tension. Molly Ivins wonders how to limit hostility toward the press while respecting the first amendment, also touching on concepts like objectivity and corrections. Audience questions address television journalism, sensationalism, and Rupert Murdoch.",Program,00:00:18 Panel introduced -- 00:03:18 Douglass Cater begins -- 00:22:36 Cater ends -- 00:24:00 Samuel Chavkin begins -- 00:39:39 Chavkin ends -- 00:41:10 Sidney Hyman begins -- 00:54:58 Hyman ends -- 00:56:51 Molly Ivins begins -- 01:16:05 Ivins ends -- 01:16:32 Audience questions begin -- 01:??:?? Audience questions end.,SegmentSequence,,,4/11/1985,University Memorial Center 422,"Ivins, Molly",Panelist,,,,,"Cater, Douglass, 1923-1995",Panelist,"Chavkin, Samuel",Panelist,"Hyman, Sidney",Panelist,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 223, Tape 85-123",Sound,Audio/Original recording,MPEG Audio,mp3,16:00:00-07:00,01:16:??,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",NEARLY UNINTELLIGIBLE THROUGHOUT,,,539270,455,cwa_85-123.mp3
Conference On World Affairs Archives,cwa_85-159.mp3,"CWA/Archives, University of Colorado at Boulder",Trivial Pursuits,,,Program,Series XXXI: Yuppies,Trivial Pursuit (Game),LCSH,American culture,LCSH,Social classes -- United States,LCSH,,,,,,,,,,,,,"Moderated by Michael Newman. This panel explores the cultural impact of the game Trivial Pursuit and it’s representation of the current ‘yuppie’ generation. Mark Kramer argues that Trivial Pursuit advocates a homogenization of knowledge and equates ‘trivial’ pop culture facts to more important pieces of information. Bill Weeden ponders the definition of trivial; claiming that what is trivial and what is important is a matter of perspective. Molly Ivins explores the social status, cultural bias, and culture gap in our society that is showcased by Trivial Pursuit. James Jackson maintains that we are always taught to not do trivial things, but many upper class activities (such as sailing) are trivial.",Program,00:00:04 Michael Newman begins -- 00:03:12 Newman ends -- 00:03:16 Mark Kramer begins -- 00:13:12 Kramer ends -- 00:13:22 Bill Weeden begins -- 00:19:40 Weeden ends -- 00:19:49 Molly Ivins begins -- 00:29:55 Ivins ends -- 00:30:02 James Jackson begins -- 00:35:28 Jackson ends -- 00:35:40 Panelists begin to respond to each other -- 00:51:30 Panelists finish responding to each other -- 00:51:46 Questions from the audience begin -- 01:50:24 Questions from the audience end -- 01:50:28 End of tape.,SegmentSequence,,,4/12/1985,Old Main Chapel,"Ivins, Molly",Panelist,,,,,"Jackson, James O.",Panelist,"Kramer, Mark (Mark William), 1944-",Panelist,"Weeden, Bill, 1940-",Panelist,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 225, Tape 85-159",Sound,Audio/Original recording,MPEG Audio,mp3,16:00:00-07:00,1:50:28,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539272,455,cwa_85-159.mp3
Conference On World Affairs Archives,cwa_85-19P.mp3,"CWA/Archives, University of Colorado at Boulder",Whatever Happened to the Yuppies?,,,Program,Plenary Session,Yuppies -- United States,LCSH,American culture,LCSH,Cultural critique,LCSH,Materialism,LCSH,,,,,,,,,,,"Moderated by Giora Bernstein. The panel attempts to define and discover the origins of “yuppies” in America. Molly Ivins identifies materialism as a defining characteristic, and wonders whether media coverage of yuppies will continue after the 1980s. Ivins and Stuart Schoffman agree that the term is a media creation, but Schoffman argues that it reflects a growing materialism in America. Peter Tauber disparages yuppie culture with jokes about Walkmen and designer water, concluding with an exhortation to ignore the trivial and improve the world.",Program,00:01:25 Molly Ivins begins -- 00:11:28 Ivins ends -- 00:11:32 Stuart Schoffman begins -- 00:27:21 Schoffman ends -- 00:27:30 Peter Tauber begins -- 00:42:00 Tauber ends.,SegmentSequence,,,4/12/1985,Macky Auditorium,"Ivins, Molly",Panelist,,,,,"Schoffman, Stuart",Panelist,"Tauber, Peter",Panelist,,,,,,,,,,,,,"CWA/Archives, University of Colorado at Boulder",Publisher,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/4 inch audio cassette,audio/mpeg,"Box 219, Tape 85-10",Sound,Audio/Original recording,MPEG Audio,mp3,11:00:00-07:00,0:42:00,128 kbps,16 bits,44.1 kHz,1 audio track,dual-channel mono,English,,"CWA/Archives, University of Colorado at Boulder",,,,539264,455,cwa_85-19P.mp3
