"Collection Name","identifier#1","identifierSource#1","Identifier ARK#1","identifier#2","identifierSource#2","title#1","titleType#1","titleSeries#1","subject#1","subjectAuthorityUsed#1","subject#2","subjectAuthorityUsed#2","subject#3","subjectAuthorityUsed#3","subject#4","subjectAuthorityUsed#4","subject#5","subjectAuthorityUsed#5","subject#6","subjectAuthorityUsed#6","subject#7","subjectAuthorityUsed#7","subject#8","subjectAuthorityUsed#8","description#1","descriptionType#1","description#2","descriptionType#2","genre#1","genreAuthorityUsed#1","coverageTemporal#1","coverageSpatial#1","contributor#1","contributorRole#1","contributor#10","contributorRole#10","contributor#11","contributorRole#11","contributor#2","contributorRole#2","contributor#3","contributorRole#3","contributor#4","contributorRole#4","contributor#5","contributorRole#5","contributor#6","contributorRole#6","contributor#7","contributorRole#7","contributor#8","contributorRole#8","contributor#9","contributorRole#9","publisher#1","publisherRole#1","rightsSummary#1","dateCreated#1","formatPhysical#1","formatDigital#1","formatMediaType#1","formatGenerations#1","formatStandard#1","formatEncoding#1","formatDataRate#1","formatBitDepth#1","formatSamplingRate#1","formatTracks#1","formatChannelConfiguration#1","language#1","formatPhysical#2","formatDigital#2","formatLocation#2","formatMediaType#2","formatGenerations#2","formatStandard#2","formatEncoding#2","formatTimeStart#2","formatDuration#2","formatDataRate#2","formatBitDepth#2","formatSamplingRate#2","formatTracks#2","formatChannelConfiguration#2","language#2","formatIdentifier#1","formatIdentifierSource#1","annotation#1","annotation#2","annotation#3","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/xv348q61c7sb","cwa_57-1.mp3","CWA/Archives, University of Colorado at Boulder","The Need for New Myths","Program","Plenary Session","International relations","local","Mythology","local","Nationalism","local","","","","","","","","","","","Dr. Bruner states that western culture is faced with a crisis of values and he argues that foreign policies reflect our values. He explains the crisis in the nature of myths, ideals of society, the nature of the universe, and man; also, explaining the relation of myths to human condition and the intellectual community, in search for identity. Economic well being and adjusted happiness must be equal among strong and weak nations, which in turn increases communication for the myth of self. Bruner states that we must be ready to look at revolutionary challenge in creating conceptions of man and nature through all aspects of economic and political power.","Program","@1:04 Introduces CWA sessions and President Newton @2:25 Quigg Newton introduces Dr. Bruner and his studies in Psychology @4:09 Dr. Bruner begins @38:32 Dr. Bruner ends @39:15 tape ends","SegmentSequence","","","4/1/1957","Macky Auditorium","Bruner, Jerome S.","Speaker","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1957-04-01","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 4, Tape 57-1","Sound","Audio/Original recording","MPEG Audio","mp3","11:00:00-07:00","0:39:15","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","539262","455","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~539262~"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/s61v7s01m9q2","cwa_72-1P.mp3","CWA/Archives, University of Colorado at Boulder","Beyond the Cultural Revolution","Program","Plenary Session","Counterculture","http://id.worldcat.org/fast/881315","Meditation","http://id.worldcat.org/fast/1015409","Revolutionaries--Political activity","http://id.worldcat.org/fast/1096591","","","","","","","","","","","@00:22 Host introduces speaker @5:10 Fiedler begins @50:32 tape ends","SegmentSequence","Moderated by Frederick P. Theime. He speaks of the counterculture as it split into political and cultural revolutions. The American ""cultural revolution"" since the mid-1950s was associated with black emancipation, but has also produced broader change throughout American popular culture. The nation has changed in human rights, media, politics, relationships, and even in how we portray our thoughts. We all experience many aspects of the culture, and we all differ from our past generations. With different kinds of people comes a revolution.","Program","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","Nineteen sixties","Macky Auditorium","Fiedler, Leslie A.","Speaker","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1972-03-13","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 93, Tape 72-1P","Sound","Audio/Original recording","MPEG Audio","audio/mp3","11:00:00-07:00","0:50:32","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/29r9ii","CWA/Archives, University of Colorado at Boulder","","","","473129","455","cwa_72-1P.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~473129~128568"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/686t1p4677gh","cwa_67-1P.mp3","CWA/Archives, University of Colorado at Boulder","A Foreign Policy Fit for Peace","Program","Plenary","Vietnam War (1961-1975)","http://id.worldcat.org/fast/1431664","Disarmament","http://id.worldcat.org/fast/894688","International relations","http://id.worldcat.org/fast/977053","","","","","","","","","","","Moderated by Thurston E. Manning; 00:11 Unidentified student introduces Thurston Manning; 02:18 Manning introduces the panelist, Norman Thomas; 03:44 Thomas begins his discussion; 05:37 Thomas states he is going to focus on general foreign policy as well as war and peace; 06:58 Thomas states that the current generation needs to learn the expression â€œabove all nations is humanityâ€; 07:45 Thomas talks about the current state of the world and his concerns. He talks about the prospect of the United States spending billions on the anti-missile program to match Russiaâ€™s program; 12:42 Thomas talks about our evolutionary inheritance and how we cannot avoid war; 14:12 Thomas talks about the notion of loyalty and the human race. He mentions that human aggression should be used towards greater things other than war; 14:50 Thomas talks about all the war he learned throughout history in school; 17:00 Thomas talks about what should be done with foreign policy. He also talks about universal disarmament; 21:55 Thomas talks about communism; 23:55 He changes the topic to the war in Vietnam and communism. He talks about the history of Vietnam and how the United States got into a war with Vietnam; 27:30 Thomas mentions that the United States is intervening in a civil war in Vietnam and have used violence and force terribly; 30:00 Thomas talks about a letter he read in a Catholic paper regarding the request to stop the Vietnam War and asks Timothy to read the letter out loud; 34:44 Thomas talks about the United States president and how he stated he would stop the war and he hasnâ€™t stopped it. He mentions that the United States is not winning the war and questions whether we could actually impose the peace we want; 37:00 Thomas talks about international relations with China and the cost the Vietnam War has caused; 40:10 He talks about constitutional convention and encouraging pacification to villagers in Vietnam. He states there will never be negotiations between governments regarding the Vietnam War; 41:44 Thomas states he wished he was young enough to be president of the United States because he believes he could bring peace; 43:53 He hopes students will not forget Vietnam in their studies and hopes we can move towards disarmament; 45:20 Manning thanks Thomas and announces the next plenary session.","Program","","","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Macky Auditorium","Thomas, Norman","Panelist","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1967-04-10","","","","","","","","","","","","","1/4 inch audio tape","audio/mpeg","","Sound","Audio/Original recording","MPEG Audio","audio/mp3","","48:20:00","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","355854","455","cwa_67-1P.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~355854~128624"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/7p11109347cs","cwa_66-100.mp3","CWA/Archives, University of Colorado at Boulder","A Pax on Both Your Houses","Program","Series XX: Today","United Nations","http://id.worldcat.org/fast/530351","Vietnam War (1961-1975)","http://id.worldcat.org/fast/1431664","Civilian rights","local","Imperialism","http://id.worldcat.org/fast/968126","Ethics of war","local","","","","","","","Moderated by Keith E. Davis. Elizabeth Farmer discusses the morality of the US position in Vietnam. In a Q+A with the audience, she explains the place of morality in generalized foreign affairs and imperialism. Sanford Gottlieb also discusses foreign affairs in terms of morality, and Victor F. Isakov talks on the necessity of concessions in war. Farmer speaks on genocide and the use of force to protect minorities. Each speaker generally addresses the topics of morality, use of force, and protection of civilian rights through organizations like the United Nations.","Program","0:13 Elizabeth Farmer begins speaking (tape begins abruptly) 6:57 Keith E. Davis announces Q&A 45:02 Q&A ends","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Hellems Arts and Sciences 213","Elizabeth Farmer","Panelist","","","","","Gottlieb, Sanford","Panelist","Harry Sterling","Panelist","Victor F. Isakov","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1966-04-22","","","","","","","","","","","","","","audio/mpeg","Box 47, Tape 66-100","Sound","Audio/Original recording","MPEG Audio","audio/mp3","16:10:00-07:00","0:45:02","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/734g6a","CWA/Archives, University of Colorado at Boulder","NLB","","","489408","455","cwa_66-100.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~489408~129524"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/dz298f46f3dj","cwa_96-25.mp3","CWA/Archives, University of Colorado at Boulder","Affirmative Action: Who Needs It?","Program","","Affirmative action programs--United States","http://id.loc.gov/authorities/subjects/sh2007100496","Civil rights","http://id.worldcat.org/fast/862627","Sex discrimination","http://id.worldcat.org/fast/1114365","Race discrimination","http://id.worldcat.org/fast/1086465","","","","","","","","","Moderated by William Wei. The panel discusses affirmative action. Philip Hart relates a personal story to illustrate how affirmative action should function. Nancy Ramsey urges a data-driven approach to the affirmative action debate. Linda Gorman argues against government-mandated affirmative action because free markets tend to eliminate discrimination. Molly Ivins counters that perfect meritocracies do not exist, and that affirmative action is necessary to prevent discrimination. Audience questions cover specific court cases, different types of discrimination, and practical considerations.","Program","00:00:31 Panelists introduced -- 00:02:44 Philip Hart begins -- 00:12:28 Hart ends -- 00:12:38 Nancy Ramsey begins -- 00:29:48 Ramsey ends -- 00:29:58 Linda Gorman begins -- 00:39:23 Gorman ends -- 00:39:36 Molly Ivins begins -- 00:55:08 Ivins ends -- 00:55:22 Audience questions begin -- 01:32:40 Audience questions end.","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Memorial Center Ballroom","Ivins, Molly","Panelist","","","","","Gorman, Linda","Panelist","Hart, Philip","Panelist","Ramsey, Nancy","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1996-04-09","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box #1, Panel #25, 1996","Sound","Audio/Original recording","MPEG Audio","audio/mp3","","1:32:40","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","Not available: the time that this program began.","","","539306","455","cwa_96-25.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~539306~142537"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/sf065348782w","cwa_59-35.mp3","CWA/Archives, University of Colorado at Boulder","Africa","Program","Plenary session","Africa--Colonization","http://id.loc.gov/authorities/subjects/sh85001542","Africa--Foreign relations--1945-1960","http://id.loc.gov/authorities/subjects/sh85001554","Africa--Ethnic relations--Political aspects","local","Self-determination, National--Africa","local","Africa--Boundaries","local","Colonies--Africa","http://id.loc.gov/authorities/subjects/sh85028569","Africa--Politics and government--1945-1960","http://id.loc.gov/authorities/subjects/sh85001572","Africa--History--1884-1960","http://id.loc.gov/authorities/subjects/sh85001563","@00:08 George Truesdale introduces the CWA Session as a part of the program ""Challenge To Thought"" @00:58 Quigg Newton introduces Tom Mboya @03:35 Tom Mboya talks @54:28 Mboya ends @56:00 George Truesdale concludes the radio broadcast @58:55 tape ends","Segment Sequence","Tom Mboya speaks about Africa's problems and its future. He describes the forces striving to free Africa from colonial rule and establish a new order. He talks about the territorial boundaries that were established without respect to geographical divisions or ethnic groupings. He concluded by stating that all Africa asks of the United States is understanding that Africans have the same desires as the U.S. is willing to fight for. Panel chair Quigg Newton presiding.","Program","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Macky Auditorium","Mboya, Tom","Speaker","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1959-04-10","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 6, tape 59-35","Sound","Audio/Original recording","MPEG Audio","audio/mp3","11:00:00-07:00","0:58:55","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/1onti7","CWA/Archives, University of Colorado at Boulder","Part of the program ""Challenge To Thought""","","","355714","455","cwa_59-35.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~355714~125046"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/5d38902213qn","cwa_91-1P.mp3","CWA/Archives, University of Colorado at Boulder","Africa Betrayed","Program","Plenary","Poverty--Africa","http://id.loc.gov/authorities/subjects/sh2008109899","Oppression (Psychology)--Political aspects","http://id.worldcat.org/fast/1046614","Africa","http://id.worldcat.org/fast/1239509","","","","","","","","","","","Moderated by William H. Baughn; 00:04 William Baughn begins speaking. Introduces George Ayittey; 02:04 George Ayittey begins speaking. Talks about how Africa is struggling with starvation; 06:10 Discusses how Africa has been poorer than it has been and how African cannot afford anything; 09:58 Discusses that investment has dropped in Africa and reads a statistic; 13:12 Talks about elite minority and the presence majority; 15:09 Ayittey says there is more oppression than freedom in Africa compared to the colonial period; 17:38 discusses that Africans are being slaughtered by educated people; 22:02 Says that leaders stated only socialism will help them, but the socialism they got was wrong; 32:56 Says that America needs to listen because Africa needs freedom of expression and that Africa needs aid; 38:54 Says that America can condemn oppression in Africa; 39:09 Ayittey stops speaking; 40:20 Unidentified audience member asks if Africa can govern even though there are so many different factions. Ayittey answers that it is possible, but to have a federation; 42:38 Unidentified audience member asks if the West has interest in helping Africa. Ayittey says no; 45:22 Unidentified audience member asks why canâ€™t the speaker go on TV and insists that TV would want him. Ayittey says no and tells her what the TV industry has done to him. Same audience member asks if the American Black people help. Ayittey says no because they do not understand what is happening in Black Africa; 50:02 Audience applauds and discussion ends.","Program","","","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Macky Auditorium","Ayittey, George B. N.","Panelist","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1991-04-08","","","","","","","","","","","","","VHS","audio/mpeg","","Sound","Audio/Original recording","MPEG Audio","audio/mp3","","50:16:00","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","356274","455","cwa_91-1P.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~356274~128663"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/gs9w8k58x2df","cwa_86-30.mp3","CWA/Archives, University of Colorado at Boulder","Alcohol","Program","Series III: Health","Drunk driving","http://id.worldcat.org/fast/899071","Alcoholism","http://id.worldcat.org/fast/804461","Alcoholics Anonymous","http://id.worldcat.org/fast/528423","","","","","","","","","","","Moderated by Richard Schwarz; 00:12 Unidentified man talks about the size of the audience last year versus this year for the same panel; 01:45 [Richard Schwarz] starts the panel discussion by stating the panel will be conducted sort of like an Alcoholics Anonymous (AA) meeting. He also introduces the members of the panel; 07:00 Bill Weeden begins his discussion. He talks about how he is a member of Alcoholics Anonymous and how he has not had a drink for the last nine years. He also talks about how he used to drink every time he had a problem or to enhance his emotions; 08:30 Weeden talks about alcohol as a societal tool and how some people can mess up their life addicted to alcohol; 09:48 Weeden talks about living in reality after being sober for nine years. He used to drink to shut out reality. He also talks about functioning alcoholics; 11:23 Sue Korenbaum begins her discussion. She starts her talk about drinking and driving; 13:00 Korenbaum talks about a study done that showed most drunk drivers were men. She also mentions it did not matter what the legal drinking age was and concludes that the norms or social factors in our society are presented to younger people in a bad way, meaning â€œin order to have a good time, we have to drinkâ€; 16:05 Roger Ebert begins his discussion; 16:45 Ebert admits he has experienced the pain of those who drank and drove. He also admits he did it himself; 18:00 Ebert talks about the normal amount of drinks an average person should have; 18:55 Ebert talks about previous panels like this one and jokes about the topic being â€œdryâ€ this year. He continues to talk about how his approach to the panel is supposed to resemble an Alcoholics Anonymous meeting. He talks about how he is going to attend a real AA meeting that night and tells the audience they are welcome to join if they have a desire to stop drinking; 21:34 Ebert talks about the large amount of material written about alcoholism recently. He talks about the theories about alcohol such as the genetic transmission or genetic predisposition to alcoholism; 22:30 Ebert mentions the book â€œThe Natural History of Alcoholismâ€ by George Vaillant. The book contains a survey of people before they started drinking and how certain â€œpersonality defectsâ€ influence some people to drink alcohol; 27:59 Ebert talks about preventive measures to educate young people about alcoholism. He mentions the compulsion to abuse drugs and alcohol is so strong there is probably nothing we can really do until the abuser chooses to change their lifestyle. He also talks about alcoholism considered as a disease and help from hospitals; 29:40 Ebert mentions that according to AA one must â€œhit rock-bottomâ€ before realizing they need help; 33:16 Shepherd Brooks begins his discussion. He tells a story about driving on the interstate and eating at a truck-stop with other people around. He mentions how he noticed every table had bottles of wine and alcohol; 34:43 Brooks talks about beer and schnapps used as a tranquilizer and â€œbaby-sitterâ€ for children in Austria for years, but now it is a felony; 35:35 Brooks mentions that Australia has the worst amount of alcoholics out of English speaking countries. He continues to talk about the number of children that also drink in Australia; 36:53 Brooks states that there is conflicting information about the country that drinks the most alcohol. One study mentioned the Soviet Union was the country that consumed the most alcohol, but Brooks states that a different study mentioned that France was the country with the highest alcohol consumption. He also says Israel is the country with the lowest amount of alcohol consumption. He continues to say that societal influence in Israel is seen through the low numbers of alcohol consumption; 38:27 Brooks talks about the laws being enacted in several states so that the legal drinking age is changed to 21 years; 39:40 Brooks quotes from an article by Jane Brody in the New York Times. He also mentions the book â€œThe Better Way to Drinkâ€ by Roger E. Vogler. The book talks about the experience of having a .055 percent alcohol content in a personâ€™s blood; 41:27 [Bill Weeden] talks about the percentages that Brooks and Ebert mentioned and states those numbers do not matter to an alcoholic; 43:55 [Audience member] talks about the approach of preventing alcoholism and the image of the glamour of drinking in our society; 44:45 Brooks responds by stating that more students have been drinking less hard liquor within the last two years. He also talks about prevention. Another panelist talks about how there are many people that can drink socially well; 51:11 Korenbaum comments on Brooksâ€™ comment about students drinking more wine and beer and the perception of alcoholic content; 51:43 [Schwarz] reiterates the books mentioned during the talk such as â€œThe Better Way to Drinkâ€ and â€œThe Natural History of Alcohol.â€ He also talks about the book â€œIâ€™ll Quit Tomorrowâ€ by Vernon E. Johnson; 52:47 Audience member asks if alcoholics eat three nutritional meals a day; 53:37 Ebert and Weeden talk about the alcoholic blackout phenomenon; 55:55 [Audience member] talks about the alcoholic content ; 56:39 Brooks expands on his story of the truck drivers and people at the truck stop that he encountered drinking alcohol. He also talks about alcoholic content; 59:23 Unidentified panelist talks about the classification of alcoholics, that being the alpha, delta and gamma types; 01:01:48 Audience member asks the panel about the impact of alcohol on the brain; 01:03:42 Audience member talks about the nutrition gained of an alcoholic and mentions that the cells in the body will take the energy from the alcohol first and the body will not get any nutrition from the food; 01:04:53 Unidentified person talks about the education and norms with drinking. While he approves of the education in the country the message often goes to people already drinking or smoking and it is not really used as a preventive measure; 01:06:13 Unidentified person talks about the social consequences of drinking. She also talks about teenagers and drinking; 01:08:57 Audience member asks Weeden and Ebert for advice on helping a friend give up alcohol before they hit rock bottom; 01:15:13 Audience member states that it would be helpful for alcoholics to make the twelve-step program and other programs readily available. A panelist responds by saying he thinks the depiction of alcoholism on television is useful; 01:18:10 Unidentified panelist talks about the climate in Hollywood. He talks about the AA meetings in Beverly Hills and how the money, leisure time and egos or insecurity of people has led to cocaine abuse; 01:20:24 Audience member asks about the organizations that advertise on television. Panel mentions that it is probably dangerous to introduce someone to AA if they are not ready for it; 01:24:08 Audience member states that it seems the alcoholics he knows personally, as well as novelists, tend to be sensitive people and asks the panel if alcohol is a product to understanding the worldâ€™s pain; 01:30:44 Audience member asks the panel if it could be counterproductive for some people if alcoholism is labeled as a disease; 01:34:35 Audience member asks about raising kids and the perception of drinking that parents can instill on their children. Panelist does not believe in rigidity and does not trust people who do not drink at all; 01:43:16 Audience member talks about physical fitness and steering young people away from alcohol. Panelist talks about the public relations battle regarding alcohol; 01:47:07 Audience member asks the panel what to do if you are living or working with someone about to hit rock bottom; 01:53:07 Panelists talk about other panels they are presenting at and the discussion ends.","Program","","","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Club","Brooks, Shepherd","Panelist","","","","","Ebert, Roger","Panelist","Korenbaum, Sue","Panelist","Weeden, Bill","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1986-04-07","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","","Sound","Audio/Original recording","MPEG Audio","audio/mp3","","2:00:43","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","538819","468","86-30.output.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~538819~133249"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/q97n5h96q1js","cwa_03-5600.mp3","CWA/Archives, University of Colorado at Boulder","ALIAQUE News Quiz","Program","","History, Modern--1989-","http://id.loc.gov/authorities/subjects/sh2002000206","Political satire","http://id.worldcat.org/fast/1069723","Bush, George W. (George Walker), 1946-","http://id.worldcat.org/fast/363849","Iraq War (2003-2011)","http://id.worldcat.org/fast/1802311","","","","","","","","","Moderated by Simon Hoggart. The panel takes the form of a news quiz game based on Simon Hoggart's British television show. Questions cover the Iraq war, popular culture, and current political events. The panelists use the questions as an opportunity for satire and political humor, telling jokes and creating fake movie titles based on the Bush administration and the Iraq war.","Program","00:00:00 Moderator introduction -- 00:03:49 Panelists introduced -- 00:04:04 News quiz begins -- 00:51:13 News quiz ends.","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Memorial Center Ballroom","Aregood, Richard","Speaker","","","","","Ebert, Roger","Speaker","McNally, Terry","Speaker","Martin, Jurek","Speaker","Ivins, Molly","Speaker","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","2003-04-11","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box #4, Panel # 5600, Year 2003","Sound","Audio/Original recording","MPEG Audio","audio/mp3","14:00:00-07:00","0:51:13","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","539261","455","cwa_03-5600.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~539261~142574"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/pm7t0b03978q","cwa_65-68.mp3","CWA/Archives, University of Colorado at Boulder","American and British Intellectual Life","Program","Taste","Intellectuals","http://id.worldcat.org/fast/975799","Manners and customs","http://id.worldcat.org/fast/1007815","","","","","","","","","","","","","The speakers discuss what it means to be an intellectual in nations such as the United States and Britain. It is reasoned that it involves one's political allegiance, leading from university to often work in government. The role of an intellectual is described through society's expectations, and one's work, performance, and interests. One speaker claims that the word 'intellectual' is more of an adjective than a noun in the US because it is almost a profession here, a way to self-recognize. All agree that the work and focus of an intellectual is in the life of the mind.","Program","@00:01 host introduces panel @1:39 Lodge begins @18:09 Lodge ends @19:37 Midgley begins @29:16 Midgley ends / Farmer begins @35:31 Farmer ends / Whitehead begins @ 43:18 Whitehead ends @ 44:00 tape ends","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Hellems Arts and Sciences 213","Midgley, John","Panelist","","","","","Lodge, David","Panelist","Farmer, Elizabeth","Panelist","Whitehead, John","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1965-04-15","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 35, Tape 65-68","Sound","Audio/Original recording","MPEG Audio","audio/mp3","10:00:00-07:00","0:44:00","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/3g75w2","CWA/Archives, University of Colorado at Boulder","","","","472969","455","cwa_65-68.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~472969~128552"
